Description,Type,IOC
VBS Downloader,sha256, 6c1d33fde5962fd37af80a8c6ede20c032a3ba1557b854cb61eda8b8cdf40926
Payload,url,http://skyviewonlineltd.com/RXW8/IDCRnINaaEmumCkkklgbtq.bin
Payload,sha256,c5d21d0bab87488027c50dfe072831c77ff7c12f1c8bc0e5e6e3669a90c96ac3
VBS Downloader,url,http://www.alldomaininfo.com/50KT/fuck_niggers_56.hta
VBS Downloader,url,http://www.alldomaininfo.com/6A0/fuck_niggers_32.hta
VBS Downloader,sha256, dc861e3e43e40f80c9b4df67762ac003f4b9c4bdbda168ff9fbd4bbef372ce47
Payload,url,https://daftar.site/S4YI/ngKnznerdtRLqCLkkklgbtq.bin
VBS Downloader,url,http://www.alldomaininfo.com/S4L/fuck_niggers_84.hta
VBS Downloader,sha256, 2ef167f1910a09ab320b1414551d2fe458227b52cab3fc59ea474eb0647563ef
Payload,url,https://bpnjabar.tams-app.com/CY7TR/uZfmJDTkkklgbtq.bin
Payload,sha256,fc5d8a2947dee35c9be350035519c729eae1a58cb1d5118e2a61bd569a51e979
VBS Downloader,url,http://www.alldomaininfo.com/2XYFLL/fuck_niggers_92.hta
VBS Downloader,url,http://www.alldomaininfo.com/M9DFBE/fuck_niggers_31.hta
VBS Downloader,url,http://www.alldomaininfo.com/YCEL62/fuck_niggers_29.hta
VBS Downloader,sha256, e154b1f5eb211713761e41647f2979d89db7a868a473fcf32fbd4e0938ccefd4
Payload,url,https://bpnjabar.tams-app.com/OF9K/GYgxaGqkkkklgbtq.bin
Payload,sha256,7d27378b178f3ed92b2f7d4bf9c49e424f875a220fe762d25efb3c4d3879101f
VBS Downloader,url,http://www.alldomaininfo.com/UCHF/fuck_niggers_86.hta
VBS Downloader,url,http://www.alldomaininfo.com/015QZ4/fuck_niggers_54.hta
VBS Downloader,url,http://www.alldomaininfo.com/R3RW7/fuck_niggers_49.hta
VBS Downloader,sha256, 755a650464d5bee72298ca88929b92b8fa1e53f095780f26ad71dc7a02dc1061
Payload,url,https://preusz.com/MJGBN/bvLaffskWuNkkklgbtq.bin
Payload,sha256,d4113779f72a34edf416e5863a701ee096ba3186c03185cf849b94f27133ec6d
VBS Downloader,url,http://www.alldomaininfo.com/00PYP9/fuck_niggers_51.hta
VBS Downloader,url,http://www.alldomaininfo.com/8AMYY/fuck_niggers_98.hta
VBS Downloader,url,http://www.alldomaininfo.com/Y1G1W/fuck_niggers_94.hta
VBS Downloader,sha256, dc169224a0608581110496d341896a3181da34ea8b7d6d0a41e56a6750b54953
Payload,url,http://cucsur.udgvirtual.udg.mx/oa/2020/SisTur/45N8Z/EMocQzaDURLkkklgbtq.bin
Payload,url,https://preusz.com/Y8L/nuzKWnIDaLMOkkklgbtq.bin
VBS Downloader,url,http://www.alldomaininfo.com/LODNH/fuck_niggers_90.hta
VBS Downloader,sha256, f088b1a90ee096f8101d040d6ec2876bda78b400b70607451eb17b48c5e97ac3
Payload,url,http://csminas.ddns.net/HADHO/OfaKFkkklgbtq.bin
Payload,sha256,5dc64df3cca54165dc493a27a09243962a8c52c3f2a4118b24f620914f2a9f38
VBS Downloader,url,http://www.alldomaininfo.com/1FKXQ/fuck_niggers_59.hta
VBS Downloader,sha256, 9453cd43dd8d8204e94c4897724c46346a7d18f73ecf1b65364f20b461026f4e
Payload,url,http://csminas.ddns.net/IQ8G0/pOouBdudkkklgbtq.bin
Payload,sha256,5b17007c41438abd1b60bc84b2f3fdacd6ce2f42c54e14f8ca97466650c1a2a3
VBS Downloader,url,http://www.alldomaininfo.com/FUQ/fuck_niggers_7.hta
VBS Downloader,sha256, e82d889fcb73f2151264467de8268e4d130ba3cd1d63a65c917be8c68222786f
Payload,url,https://medino.co.in/khgqz/KGN6D/fDxnykkklgbtq.bin
Payload,sha256,b11f2f19a0388ff5e8e11f3f6c2e744fde7a8f3d9b56efcc1976ae91578b1a18
Payload,url,http://skyviewonlineltd.com/B3UR/ngKnznerdtRLqCLkkklgbtq.bin
VBS Downloader,url,http://www.alldomaininfo.com/CGIQ7/fuck_niggers_38.hta
VBS Downloader,sha256, 7512808686504df8e91d947864d12727fe5876bba337f5da2bd8b903162f6521
Payload,url,https://daftar.site/TSTM8Q/eLGLzecYmIXoKINkkklgbtq.bin
Payload,sha256,ff78059edf414a40fbc264f86c9bcf0f4fc2ae9c7291fb0cb13b250223d9a497
VBS Downloader,url,http://www.alldomaininfo.com/QLPYJ/fuck_niggers_89.hta
VBS Downloader,sha256, 3d4b747c5728482ca98549c9b545515344abde5d717ab53155580d25e4ba9a87
Payload,url,https://daftar.site/BJUS5N/HbWbEubMkkklgbtq.bin
Payload,sha256,cc0cf86940ea24eb5ed64571fa4ac9b53108b58c94f17562049ba38b813cb364
Payload,url,https://preusz.com/MR60/GYgxaGqkkkklgbtq.bin
VBS Downloader,url,http://www.alldomaininfo.com/GZT/fuck_niggers_58.hta
VBS Downloader,sha256, 01f24e33456019d5bce0cd25bb3cc1dfc95c42ed56ecb7aaec25de8147cfea26
Payload,url,https://medino.co.in/khgqz/4GE9Y/mSSOBvmkkklgbtq.bin
Payload,sha256,169e5a561479f1ba3d4cedf211d1404330c3afda5ac39b08d689d07ef9596298
Payload,url,http://www.fixstudio.co.kr/plugin/editor/smarteditor2/VAHCUK/VYVNqLNFQDkkklgbtq.bin
Payload,url,http://cucsur.udgvirtual.udg.mx/oa/2020/SisTur/0S3IV/djXwRsYXhBteVdkkklgbtq.bin
Payload,sha256,fb87ecffae6e8a3070c7db5e0998c65cce7539a6efcb34fde24168b559dff71c
VBS Downloader,url,http://www.alldomaininfo.com/Y2G/fuck_niggers_14.hta
VBS Downloader,sha256, 9c648b119d23511fe6ed073ac4848a82e620e1bfc843e9daa2e1a0802b93afff
